HUC_12,instream_act,riparian_act,land_act,fishpass_act,instream_cst,n_instream_huc,n_instream_cst,riparian_cst,n_riparian_huc,n_riparian_cst,land_cst,n_land_huc,n_land_cst,main_cst,n_main_huc,n_main_cst,prj_cst,n_prj_cst,n_prj_huc,n_worksites
171100210202,8,0,0,0,0,0,0,0,0,0,0,0,0,2279083.645437628,3,3,2279083.645437628,3,3,8
171100210203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171100210204,5,0,0,2,421854.6884169143,1,1,0,0,0,0,0,0,1175655.7983849333,4,4,2354199.8042787802,5,6,7
171100210205,1,3,0,11,3641602.465331279,1,1,0,0,0,0,0,0,3641602.465331279,1,1,4087897.1934552807,3,12,12
171100210301,6,0,3,5,5317496.072482113,1,1,0,0,0,0,0,0,5997550.883672935,7,7,6211948.591079775,4,12,13
171100210302,1,0,1,3,141115.1555813948,1,1,0,0,0,0,0,0,141115.1555813948,1,1,163236.185928104,2,4,4
171100210303,4,1,0,1,947749.3284383875,3,3,0,0,0,0,0,0,947749.3284383875,3,3,947749.3284383875,2,4,4
171100210304,3,2,0,2,128220.15825793592,1,1,0,0,0,0,0,0,128220.15825793592,1,1,231683.27426775038,2,3,4
171100210305,6,0,0,0,NA,1,0,0,0,0,0,0,0,134051.51754137603,3,3,134051.51754137603,1,3,6
171100210306,1,1,1,0,0,0,0,0,0,0,0,0,0,1458880.0034150428,2,2,1458880.0034150428,1,2,2
171100210500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
